@relation sift

@attribute feat0 numeric
@attribute feat1 numeric
@attribute feat2 numeric
@attribute feat3 numeric
@attribute feat4 numeric
@attribute feat5 numeric
@attribute feat6 numeric
@attribute feat7 numeric
@attribute feat8 numeric
@attribute feat9 numeric
@attribute feat10 numeric
@attribute feat11 numeric
@attribute feat12 numeric
@attribute feat13 numeric
@attribute feat14 numeric
@attribute feat15 numeric
@attribute feat16 numeric
@attribute feat17 numeric
@attribute feat18 numeric
@attribute feat19 numeric
@attribute feat20 numeric
@attribute feat21 numeric
@attribute feat22 numeric
@attribute feat23 numeric
@attribute feat24 numeric
@attribute feat25 numeric
@attribute feat26 numeric
@attribute feat27 numeric
@attribute feat28 numeric
@attribute feat29 numeric
@attribute feat30 numeric
@attribute feat31 numeric
@attribute feat32 numeric
@attribute feat33 numeric
@attribute feat34 numeric
@attribute feat35 numeric
@attribute feat36 numeric
@attribute feat37 numeric
@attribute feat38 numeric
@attribute feat39 numeric
@attribute feat40 numeric
@attribute feat41 numeric
@attribute feat42 numeric
@attribute feat43 numeric
@attribute feat44 numeric
@attribute feat45 numeric
@attribute feat46 numeric
@attribute feat47 numeric
@attribute feat48 numeric
@attribute feat49 numeric
@attribute feat50 numeric
@attribute feat51 numeric
@attribute feat52 numeric
@attribute feat53 numeric
@attribute feat54 numeric
@attribute feat55 numeric
@attribute feat56 numeric
@attribute feat57 numeric
@attribute feat58 numeric
@attribute feat59 numeric
@attribute feat60 numeric
@attribute feat61 numeric
@attribute feat62 numeric
@attribute feat63 numeric
@attribute feat64 numeric
@attribute feat65 numeric
@attribute feat66 numeric
@attribute feat67 numeric
@attribute feat68 numeric
@attribute feat69 numeric
@attribute feat70 numeric
@attribute feat71 numeric
@attribute feat72 numeric
@attribute feat73 numeric
@attribute feat74 numeric
@attribute feat75 numeric
@attribute feat76 numeric
@attribute feat77 numeric
@attribute feat78 numeric
@attribute feat79 numeric
@attribute feat80 numeric
@attribute feat81 numeric
@attribute feat82 numeric
@attribute feat83 numeric
@attribute feat84 numeric
@attribute feat85 numeric
@attribute feat86 numeric
@attribute feat87 numeric
@attribute feat88 numeric
@attribute feat89 numeric
@attribute feat90 numeric
@attribute feat91 numeric
@attribute feat92 numeric
@attribute feat93 numeric
@attribute feat94 numeric
@attribute feat95 numeric
@attribute feat96 numeric
@attribute feat97 numeric
@attribute feat98 numeric
@attribute feat99 numeric
@attribute feat100 numeric
@attribute feat101 numeric
@attribute feat102 numeric
@attribute feat103 numeric
@attribute feat104 numeric
@attribute feat105 numeric
@attribute feat106 numeric
@attribute feat107 numeric
@attribute feat108 numeric
@attribute feat109 numeric
@attribute feat110 numeric
@attribute feat111 numeric
@attribute feat112 numeric
@attribute feat113 numeric
@attribute feat114 numeric
@attribute feat115 numeric
@attribute feat116 numeric
@attribute feat117 numeric
@attribute feat118 numeric
@attribute feat119 numeric
@attribute feat120 numeric
@attribute feat121 numeric
@attribute feat122 numeric
@attribute feat123 numeric
@attribute feat124 numeric
@attribute feat125 numeric
@attribute feat126 numeric
@attribute feat127 numeric

@data

0,0,0,0.038873,0.013018,0,0,0,0,0,0.000208,0.029881,0.042003,0,0,0,-0.000715,0.001542,0.003171,0.007265,0.009563,0.007323,0.004805,0,0,0,0,0,0,0.00077,0.041789,0.017007,0,0,0.004024,0.038939,0.010782,0,0,0,0,0,0.003845,0.052726,0.020111,0,0,0,0,0,0.000761,0.005155,0.013123,0.010499,0.025337,0.001391,-0.011083,0.030708,0,0,0,0,0.017201,0.006214,0,0,0.010942,0.022672,0.000775,0,0,0,-0.005848,0.01459,0.011667,0.030576,0.016335,0.002098,0,0,-0.04184,0.095855,0.001811,0.000467,0,0.013871,0.007639,0,-0.080104,0.2,0,0,0,0,0,0,0,0.000086,0.050117,0.009218,0,0,0,0,-0.043362,0.10384,0.028324,0.000535,0,0,0,0,-0.064137,0.148881,0.056617,0,0,0,0,0,-0.05126,0.130928,0,0,0,0,0,0
0,0,0,0,0.001946,0.018895,0.016531,0,0,0,0.000593,0.121673,0.009516,0,0,0,0.003828,0,0.000094,0.029795,0.007216,0,0.000631,0.010198,0.004178,0.001214,0.009686,0.011481,0.000003,0,0,0.003198,0,0,0,0.006007,0.018447,0.029458,0.002659,0,0,0,0.012908,0.172842,0.015332,0,0,0,0.004014,0.002275,0.019802,0.037286,0.000522,0,0.002218,0.0008,0.00569,0.002658,0.004233,0.001686,0.001286,0.00486,0.008936,0.008154,0,0,0.003354,0.028606,0.009361,0.005653,0.001217,0,0,0,0.01972,0.2,0.010129,0,0,0,0,0.005492,0.040522,0.025544,0.012534,0.002962,0.000321,0.00077,0.007749,0.026083,0.009637,0.000371,0,0.002369,0.00819,0.005944,0,0,0.043506,0.043953,0.001349,0,0,0,0,0,0.062709,0.084451,0,0,0,0,0.003111,0.00364,0.012642,0.06448,0.000494,0,0,0.000032,0.022184,0,0,0,0,0,0,0.025993
0,0,0.021841,0.031275,0,0,0,0,0,0,0.049301,0.11235,0,0,0,0,0,0,0.08511,0.099504,0,0,0,0,0,0,0.02166,0.026569,0.001284,0,0,0,0,0,0.009912,0.059624,0,0,0,0,0,0,0.033553,0.195173,0.001208,0,0,0,0,0,0.014393,0.164467,0.006881,0,0,0,0,0,0.006408,0.037623,0.006666,0.00673,0,0,0,0,0.011701,0.054193,0.000622,0,0,0,0,0,0.004942,0.2,0.024987,0,0,0,0,0,0.005883,0.132623,0.031172,0,0,0,0,0,0,0.010636,0.013206,0.019523,0.008739,0,0,0,0.000061,0.029755,0.009106,0,0,0,0,0,0.000014,0.127312,0.031186,0,0,0,0,0,0,0.112788,0.032434,0,0,0,0,0,0,0.001241,0.009264,0.01123,0.000356,0
0.002621,0.004519,0.005761,0.011399,0,0,0,0.000056,0,0,0.011609,0.086417,0.002468,0,0,0,0,0,0.03057,0.117736,0.001093,0,0,0,0,0,0.004185,0.064379,0.004167,0.000318,0,0,0.008517,0.001043,0.001897,0.011008,0.000612,0,0,0.005306,0,0,0.0752,0.119664,0.000468,0,0,0,0,0,0.123617,0.067149,0,0,0,0,0,0,0.005826,0.041773,0.012063,0,0,0,0.006608,0.004994,0.013677,0.003719,0,0,0,0.000619,0,0,0.037714,0.2,0.000558,0,0,0,0,0,0.006067,0.07387,0.020283,0.001663,0,0,0,0,0,0.001112,0.023159,0.023494,0.00014,0,0.000372,0.002543,0.00839,0.009498,0,0,0,0,0,0,0.003002,0.144685,0.007444,0,0,0,0,0,0,0.028704,0.017107,0.014959,0.007011,0,0,0,0,0,0,0.050034,0.031419,0
0,0,0.010757,0.015722,0.00137,0.000345,0,0,0,0,0.154314,0.070439,0,0,0,0,0,0.019156,0.134262,0.005613,0,0,0,0,0,0.004655,0.068285,0.006563,0,0,0,0,0,0.003712,0.058541,0.038649,0,0,0,0,0,0,0.047846,0.2,0.005187,0,0,0,0,0,0.017528,0.079388,0.004387,0,0,0,0,0,0.005962,0.03635,0.009334,0.000478,0,0,0,0,0.028188,0.038793,0.000163,0,0,0,0,0,0.015254,0.081996,0.098255,0,0,0,0,0,0,0.042276,0.139842,0.003267,0,0,0.000284,0.000792,0.000913,0.009401,0.02666,0.006906,0.000825,0.002025,0,0.008661,0.064197,0.010776,0,0,0,0,0,0.003327,0.080006,0.020056,0,0,0,0,0,0,0.03268,0.049079,0.000806,0,0,0,0,0,0.0075,0.035462,0.01763,0,0.000599,0.000157
0.000438,0.028039,0.025708,0,0,0,0,0,0.001553,0.063358,0.037028,0,0,0,0,0,0,0.077378,0.2,0,0,0,0,0,0,0.161025,0.094389,0,0,0,0,0,0.000653,0.064818,0.04841,0,0,0,0,0,0,0.031942,0.0904,0.040654,0,0,0,0,0,0.003446,0.179927,0.151051,0.000088,0,0,0,0,0.025486,0.10301,0.003198,0,0,0,0,0.014257,0.122185,0.019387,0,0,0,0,0,0,0.109992,0.086504,0,0,0,0,0,0,0.004521,0.068829,0.172108,0.015755,0,0,0,0,0.001967,0.034545,0.043448,0.001357,0,0,0,0.023491,0.067858,0.00471,0,0,0,0,0,0.006595,0.037971,0.060144,0.001378,0,0,0,0,0,0.02769,0.067744,0.036304,0,0,0,0,0.000472,0.003005,0.007603,0.028875,0.008883,0.001344,0.002382,0.000838
0.004166,0.009788,0.092098,0.031912,0.019597,0.007169,0.004429,0.001466,0.005547,0.056213,0.04941,0.005183,0,0,0,0.003891,0.025518,0.096004,0.044182,0.009932,0,0,0,0.007008,0.006082,0.001799,0,0.000226,0.00138,0.005888,0.033217,0.023754,0,0.001123,0.01645,0.03967,0.045635,0.002172,0,0,0,0,0.052065,0.2,0.044617,0.001301,0,0,0.022776,0.017899,0.023098,0.006424,0,0.003065,0.057324,0.08713,0.049649,0.037744,0.001099,0,0,0,0,0.021922,0,0.036517,0.105404,0.034917,0.002057,0,0,0,0.002586,0.044829,0.068719,0.043489,0.01274,0.013754,0.022651,0.007868,0,0,0,0,0.013848,0.064165,0.150479,0.009313,0.003596,0,0.000782,0.000206,0.01692,0.072881,0.032707,0.002514,0,0.031342,0.10688,0.018445,0,0,0,0,0.048007,0.009845,0.018257,0,0,0,0.011121,0.081385,0.03744,0.012435,0.00231,0,0,0.001007,0.001232,0.043957,0.016644,0,0,0,0,0.011689,0.052387,0.050463
0,0,0.196657,0.127161,0.005433,0,0,0,0.00639,0.026229,0.071267,0.010205,0.012174,0.011603,0.007075,0.006984,0.005347,0.094539,0.054952,0.001866,0,0,0,0,0.017472,0.04792,0.025113,0.014535,0.001894,0.00155,0.006082,0.014317,0,0.000126,0.076182,0.11281,0.025454,0,0,0,0,0,0.004786,0.054656,0.070854,0.005341,0,0,0,0.014127,0.081694,0.2,0.027816,0.001662,0.000806,0,0.051825,0.015284,0,0,0,0,0.041725,0.090118,0,0.014517,0.132062,0.024628,0,0,0,0,0,0.108107,0.149957,0.026392,0,0,0,0,0.002932,0.005401,0.068115,0.074718,0.017867,0.026683,0.091615,0.001318,0,0,0,0,0.016944,0.055651,0.089783,0.005549,0.018753,0.048876,0.074754,0.005275,0,0,0,0,0.000758,0.04917,0.096674,0.031009,0.000394,0,0.000179,0.002558,0.058742,0,0,0,0,0,0.0163,0.113305,0.02314,0.007934,0.000247,0,0.002099,0.012083,0.007808,0.01997
0,0,0.007532,0.025302,0.062072,0.018918,0.000755,0.000407,0,0,0.001189,0.052922,0.061874,0.010648,0.000351,0,0.01289,0.030868,0.023737,0.021036,0.00139,0,0,0,0.038501,0.02885,0.013922,0,0,0,-0.002658,0.013522,0,0,0.018725,0.084693,0.078909,0.022312,0,0,0,0,0.066397,0.172946,0.008313,0.004717,0,0,0.000871,0.016481,0.043771,0.063962,0.006826,0.001936,0,0,0.012016,0.023953,0.010619,0.012606,0.001482,0.001917,0.018637,0.009162,0,0.023991,0.100385,0.066663,0.006347,0,0,0,0,0.014178,0.063004,0.2,0.02243,0,0,0,0.002695,0.002635,0.017142,0.020456,0.059999,0.010787,0,0,0.005359,0.019121,0.01153,0,0.006084,0.008282,0.000955,0.017217,0,0.001125,0.027868,0.071993,0.093178,0.013143,0,0,0,0.004326,0.005324,0.04652,0.059592,0.042359,0.007445,0,0,0.002058,0.005004,0.013408,0.018746,0.01969,0.003398,0,0.002069,0.001636,0.002678,0.02249,0.051918,0.002226,0,0
